Marker	TaxonPath	Clade	Level	MarkerLength	AmpliconSize
gi|422434141|ref|NZ_GL384222.1|:86635-86934	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	300	284
gi|422436532|ref|NZ_GL384462.1|:c297812-297150	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	663	608
gi|422439172|ref|NZ_GL384485.1|:c80610-80086	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	525	502
gi|422482616|ref|NZ_GL383714.1|:170052-170369	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	318	259
gi|422496709|ref|NZ_GL383802.1|:56803-56916	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	114	95
gi|422499020|ref|NZ_GL383811.1|:10443-11039	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	597	522
gi|422500804|ref|NZ_GL383759.1|:c166532-166311	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	222	200
gi|422511741|ref|NZ_GL383929.1|:146431-146739	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	309	266
gi|422512600|ref|NZ_GL383846.1|:26161-26922	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	762	699
gi|422538210|ref|NZ_GL384610.1|:c285619-284684	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	936	653
gi|422539030|ref|NZ_GL384611.1|:c783227-783054	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	174	122
gi|422547321|ref|NZ_GL383459.1|:130129-130737	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	609	585
gi|422552858|ref|NZ_GL383469.1|:c216727-215501	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	1227	701
gi|482889214|ref|NC_021085.1|:654926-655153	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	228	205
gi|552875787|ref|NZ_KI515684.1|:459339-460115	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	777	688
gi|552875787|ref|NZ_KI515684.1|:489358-490317	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	960	705
gi|552875787|ref|NZ_KI515684.1|:c325537-325361	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	177	146
gi|552875787|ref|NZ_KI515684.1|:c44215-43715	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	501	467
gi|552875787|ref|NZ_KI515684.1|:c488989-488798	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	192	153
gi|552875787|ref|NZ_KI515684.1|:c584270-583890	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	381	296
gi|552875787|ref|NZ_KI515684.1|:c96934-96368	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	567	470
gi|552876418|ref|NZ_KI515685.1|:1081256-1081411	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	156	74
gi|552876418|ref|NZ_KI515685.1|:133418-133666	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	249	219
gi|552876418|ref|NZ_KI515685.1|:187493-188140	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	648	609
gi|552876418|ref|NZ_KI515685.1|:225601-226386	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	786	684
gi|552876418|ref|NZ_KI515685.1|:339623-340705	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	1083	692
gi|552876418|ref|NZ_KI515685.1|:36713-37258	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	546	546
gi|552876418|ref|NZ_KI515685.1|:432422-433465	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	1044	708
gi|552876418|ref|NZ_KI515685.1|:546580-547218	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	639	569
gi|552876418|ref|NZ_KI515685.1|:656232-656693	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	462	432
gi|552876418|ref|NZ_KI515685.1|:910-1341	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	432	402
gi|552876418|ref|NZ_KI515685.1|:c1014617-1014117	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	501	493
gi|552876418|ref|NZ_KI515685.1|:c1032381-1030873	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	1509	696
gi|552876418|ref|NZ_KI515685.1|:c157510-157292	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	219	201
gi|552876418|ref|NZ_KI515685.1|:c184358-183951	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	408	354
gi|552876418|ref|NZ_KI515685.1|:c713438-713010	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	429	406
gi|552876418|ref|NZ_KI515685.1|:c727842-726979	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	864	707
gi|552876418|ref|NZ_KI515685.1|:c743399-743001	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	399	392
gi|552876418|ref|NZ_KI515685.1|:c849089-848304	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	786	703
gi|552876418|ref|NZ_KI515685.1|:c931935-931327	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	609	538
gi|552876815|ref|NZ_KI515686.1|:323579-324514	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	936	700
gi|552876815|ref|NZ_KI515686.1|:613740-614315	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	576	442
gi|552876815|ref|NZ_KI515686.1|:c104786-104448	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	339	267
gi|552876815|ref|NZ_KI515686.1|:c200743-199319	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	1425	699
gi|552876815|ref|NZ_KI515686.1|:c50594-49899	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	696	618
gi|552876815|ref|NZ_KI515686.1|:c586091-585333	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	759	653
gi|552876815|ref|NZ_KI515686.1|:c642879-642748	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	132	126
gi|552879811|ref|NZ_AXME01000001.1|:1088727-1089377	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	651	550
gi|552879811|ref|NZ_AXME01000001.1|:1128888-1129136	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	249	243
gi|552879811|ref|NZ_AXME01000001.1|:1146402-1146932	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	531	529
gi|552879811|ref|NZ_AXME01000001.1|:1265476-1266570	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	1095	691
gi|552879811|ref|NZ_AXME01000001.1|:1286960-1287442	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	483	417
gi|552879811|ref|NZ_AXME01000001.1|:1327950-1328573	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	624	619
gi|552879811|ref|NZ_AXME01000001.1|:287543-287779	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	237	211
gi|552879811|ref|NZ_AXME01000001.1|:368977-369813	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	837	697
gi|552879811|ref|NZ_AXME01000001.1|:40840-41742	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	903	696
gi|552879811|ref|NZ_AXME01000001.1|:49241-49654	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	414	404
gi|552879811|ref|NZ_AXME01000001.1|:587256-587825	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	570	564
gi|552879811|ref|NZ_AXME01000001.1|:702826-703131	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	306	252
gi|552879811|ref|NZ_AXME01000001.1|:97330-98208	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	879	700
gi|552879811|ref|NZ_AXME01000001.1|:c1552174-1551533	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	642	480
gi|552879811|ref|NZ_AXME01000001.1|:c1599141-1598893	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	249	159
gi|552879811|ref|NZ_AXME01000001.1|:c1651715-1651248	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	468	461
gi|552879811|ref|NZ_AXME01000001.1|:c1657647-1657093	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	555	539
gi|552879811|ref|NZ_AXME01000001.1|:c2135959-2134715	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	1245	698
gi|552879811|ref|NZ_AXME01000001.1|:c2447430-2446870	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	561	476
gi|552879811|ref|NZ_AXME01000001.1|:c550719-550297	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	423	378
gi|552891898|ref|NZ_AXMG01000001.1|:1150303-1151070	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	768	694
gi|552891898|ref|NZ_AXMG01000001.1|:1231251-1231871	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	621	589
gi|552891898|ref|NZ_AXMG01000001.1|:1234202-1234792	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	591	548
gi|552891898|ref|NZ_AXMG01000001.1|:1440218-1440469	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	252	213
gi|552891898|ref|NZ_AXMG01000001.1|:1877095-1877379	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	285	238
gi|552891898|ref|NZ_AXMG01000001.1|:2120985-2121719	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	735	685
gi|552891898|ref|NZ_AXMG01000001.1|:315632-315934	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	303	293
gi|552891898|ref|NZ_AXMG01000001.1|:536557-537231	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	675	619
gi|552891898|ref|NZ_AXMG01000001.1|:592123-592665	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	543	526
gi|552891898|ref|NZ_AXMG01000001.1|:793445-793843	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	399	389
gi|552891898|ref|NZ_AXMG01000001.1|:834824-835255	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	432	425
gi|552891898|ref|NZ_AXMG01000001.1|:99114-99290	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	177	165
gi|552891898|ref|NZ_AXMG01000001.1|:c1328090-1327596	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	495	411
gi|552891898|ref|NZ_AXMG01000001.1|:c1443707-1443105	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	603	601
gi|552891898|ref|NZ_AXMG01000001.1|:c1460921-1460529	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	393	382
gi|552891898|ref|NZ_AXMG01000001.1|:c2126720-2126193	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	528	515
gi|552891898|ref|NZ_AXMG01000001.1|:c2312839-2311925	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	915	705
gi|552891898|ref|NZ_AXMG01000001.1|:c2382295-2381897	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	399	381
gi|552891898|ref|NZ_AXMG01000001.1|:c2429318-2428110	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	1209	697
gi|552895565|ref|NZ_AXMI01000001.1|:619555-620031	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	477	466
gi|552895565|ref|NZ_AXMI01000001.1|:c101377-100163	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	1215	697
gi|552895565|ref|NZ_AXMI01000001.1|:c14352-13837	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	516	468
gi|552895565|ref|NZ_AXMI01000001.1|:c282323-281691	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	633	607
gi|552895565|ref|NZ_AXMI01000001.1|:c29469-28930	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	540	534
gi|552895565|ref|NZ_AXMI01000001.1|:c306684-306040	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	645	598
gi|552895565|ref|NZ_AXMI01000001.1|:c325088-324501	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	588	587
gi|552895565|ref|NZ_AXMI01000001.1|:c443438-442323	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	1116	696
gi|552895565|ref|NZ_AXMI01000001.1|:c94830-94675	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	156	108
gi|552896371|ref|NZ_AXMI01000002.1|:319095-319601	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	507	467
gi|552896371|ref|NZ_AXMI01000002.1|:525312-525770	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	459	447
gi|552896371|ref|NZ_AXMI01000002.1|:638332-638937	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	606	556
gi|552896371|ref|NZ_AXMI01000002.1|:674988-675587	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	600	567
gi|552896371|ref|NZ_AXMI01000002.1|:721564-722400	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	837	714
gi|552896371|ref|NZ_AXMI01000002.1|:837080-837400	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	321	309
gi|552896371|ref|NZ_AXMI01000002.1|:c247178-246402	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	777	698
gi|552896371|ref|NZ_AXMI01000002.1|:c671938-670697	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	1242	708
gi|552896371|ref|NZ_AXMI01000002.1|:c872629-871631	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	999	705
gi|552896688|ref|NZ_AXMI01000003.1|:232201-232740	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	540	491
gi|552896688|ref|NZ_AXMI01000003.1|:c38494-37955	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	540	486
gi|552897201|ref|NZ_AXMI01000004.1|:13568-14401	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	834	700
gi|552897201|ref|NZ_AXMI01000004.1|:48085-48816	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	732	679
gi|552897201|ref|NZ_AXMI01000004.1|:c102788-101976	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	813	701
gi|552897201|ref|NZ_AXMI01000004.1|:c231437-230883	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	555	530
gi|552897201|ref|NZ_AXMI01000004.1|:c577292-575922	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	1371	700
gi|552897201|ref|NZ_AXMI01000004.1|:c732370-731744	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	Propionibacterium_acnes	Species	627	621
